scores,y_mouse,y_expDate,y_time,y_flx
12.383031,Mouse99003,072321,3234,1
11.578456,Mouse99003,072321,3235,1
8.338002,Mouse99003,072321,3236,1
9.64977,Mouse99003,072321,3237,1
12.17924,Mouse99003,072321,3238,1
11.977882,Mouse99003,072321,3239,1
8.447485,Mouse99003,072321,3240,1
10.218621,Mouse99003,072321,3241,1
13.463651,Mouse99003,072321,3242,1
10.708621,Mouse99003,072321,3243,1
10.130713,Mouse99003,072321,3244,1
6.9559593,Mouse99003,072321,3245,1
9.084398,Mouse99003,072321,3246,1
8.5615,Mouse99003,072321,3247,1
11.219836,Mouse99003,072321,3248,1
10.947439,Mouse99003,072321,3249,1
12.983519,Mouse99003,072321,3250,1
2.4251404,Mouse99003,072321,3251,1
7.256949,Mouse99003,072321,3252,1
9.526782,Mouse99003,072321,3253,1
5.90235,Mouse99003,072321,3254,1
8.726611,Mouse99003,072321,3255,1
9.224112,Mouse99003,072321,3256,1
5.6423173,Mouse99003,072321,3257,1
9.828371,Mouse99003,072321,3258,1
12.6276245,Mouse99003,072321,3259,1
9.373197,Mouse99003,072321,3260,1
